OrderID,UserID,CompanyID,Date,Timestamp,ExpirationDate,OptionType,SpotPrice,StrikePrice,OptionPrice
93,69,4,2024-11-03,304408000,7,Put,249.53,250.00,8.27
94,71,2,2024-11-03,318114000,3,Put,290.75,291.00,9.49
95,73,1,2024-11-03,304532000,1,Put,248.54,249.00,8.24
96,75,4,2024-11-03,314425000,4,Put,278.78,279.00,9.09
97,80,3,2024-11-03,305416000,3,Call,251.00,251.00,9.12
98,82,2,2024-11-03,312727000,4,Call,266.96,267.00,9.68
99,83,1,2024-11-03,301248000,6,Put,241.98,242.00,7.81
100,84,4,2024-11-03,315660000,7,Put,285.15,285.00,9.11
101,89,3,2024-11-03,315640000,2,Call,286.33,286.00,10.56
102,96,4,2024-11-03,316458000,1,Put,288.18,288.00,9.20
103,98,3,2024-11-03,303012000,1,Put,253.05,253.00,8.13
104,2,2,2024-11-04,405376000,3,Put,302.35,302.00,9.57
105,3,3,2024-11-04,421147000,7,Put,322.49,322.00,10.15
106,7,1,2024-11-04,402079000,5,Call,288.89,289.00,10.44
107,13,2,2024-11-04,419159000,4,Put,321.22,321.00,10.24
108,14,2,2024-11-04,415553000,4,Call,314.79,315.00,11.33
109,15,1,2024-11-04,410393000,4,Call,306.46,306.00,11.36
110,16,1,2024-11-04,405061000,5,Put,297.13,297.00,9.51
111,35,4,2024-11-04,408744000,4,Call,305.01,305.00,11.08
112,38,2,2024-11-04,401202000,7,Call,284.11,284.00,10.37
113,40,4,2024-11-04,401793000,5,Call,282.17,282.00,10.34
114,42,3,2024-11-04,408655000,7,Put,304.32,304.00,9.65
115,45,4,2024-11-04,420116000,1,Put,320.30,320.00,10.17
116,46,2,2024-11-04,415674000,2,Call,313.44,313.00,11.60
117,48,4,2024-11-04,401204000,6,Put,283.60,284.00,9.34
118,49,4,2024-11-04,408771000,4,Call,305.16,305.00,11.17
119,53,2,2024-11-04,414140000,5,Call,312.99,313.00,11.36
120,64,2,2024-11-04,405664000,1,Call,303.30,303.00,11.17
121,67,4,2024-11-04,411860000,2,Put,297.83,298.00,9.68
122,68,4,2024-11-04,414134000,5,Call,312.53,313.00,11.12
123,69,2,2024-11-04,403076000,6,Put,287.85,288.00,9.35
124,77,3,2024-11-04,415799000,6,Put,316.89,317.00,10.26
125,81,2,2024-11-04,419469000,1,Call,323.50,324.00,11.50
126,82,4,2024-11-04,409121000,1,Put,300.67,301.00,9.85
127,83,4,2024-11-04,416391000,6,Call,323.05,323.00,11.76
128,84,3,2024-11-04,405747000,2,Put,305.88,306.00,9.91
129,93,4,2024-11-04,408394000,1,Call,301.06,301.00,10.97
130,94,1,2024-11-04,408958000,6,Call,302.45,302.00,11.21
131,95,4,2024-11-04,402078000,5,Call,286.67,287.00,10.25
132,97,3,2024-11-04,407039000,5,Put,305.79,306.00,9.96
133,5,1,2024-11-05,513235000,1,Call,345.21,345.00,12.64
134,7,3,2024-11-05,505377000,6,Put,342.23,342.00,10.91
135,10,1,2024-11-05,502888000,7,Put,326.42,326.00,10.31
136,11,2,2024-11-05,502877000,5,Put,326.52,327.00,10.76
137,13,3,2024-11-05,503070000,6,Call,326.73,327.00,11.73
138,14,3,2024-11-05,501722000,6,Put,320.22,320.00,10.21
139,15,2,2024-11-05,501241000,6,Put,324.62,325.00,10.65
140,19,2,2024-11-05,521120000,3,Call,352.62,353.00,12.62
141,22,2,2024-11-05,512522000,5,Put,346.38,346.00,10.97
142,29,4,2024-11-05,504759000,2,Put,331.98,332.00,10.71
143,38,4,2024-11-05,508377000,5,Put,342.27,342.00,10.89
144,39,4,2024-11-05,519576000,1,Put,358.82,359.00,11.65
145,40,4,2024-11-05,501570000,3,Put,322.94,323.00,10.44
146,41,2,2024-11-05,517087000,4,Put,357.70,358.00,11.67
147,42,2,2024-11-05,516097000,7,Put,352.04,352.00,11.32
148,48,2,2024-11-05,500593000,4,Call,322.50,323.00,11.47
149,58,3,2024-11-05,505723000,7,Call,343.70,344.00,12.33
150,73,1,2024-11-05,505642000,1,Call,344.21,344.00,12.61
151,74,4,2024-11-05,501871000,1,Call,321.34,321.00,11.84
152,80,4,2024-11-05,516062000,3,Call,354.92,355.00,12.85
153,84,3,2024-11-05,502738000,2,Put,326.47,326.00,10.29
154,86,1,2024-11-05,519513000,7,Call,356.61,357.00,12.76
155,87,4,2024-11-05,512160000,4,Call,340.51,341.00,12.13
156,92,3,2024-11-05,509215000,7,Call,341.51,342.00,12.16
157,93,3,2024-11-05,503568000,2,Put,326.02,326.00,10.49
158,94,1,2024-11-05,512162000,5,Call,338.15,338.00,12.36
159,95,4,2024-11-05,521236000,5,Call,355.07,355.00,12.93
160,96,4,2024-11-05,505999000,7,Call,346.61,347.00,12.39
161,99,2,2024-11-05,516231000,1,Call,351.87,352.00,12.71
162,2,4,2024-11-06,606303000,4,Put,373.57,374.00,12.25
163,7,2,2024-11-06,606203000,1,Call,375.52,376.00,13.40
164,12,4,2024-11-06,610713000,6,Put,370.51,371.00,12.18
165,14,2,2024-11-06,603716000,5,Call,361.17,361.00,13.20
166,15,1,2024-11-06,620366000,2,Call,390.22,390.00,14.29
167,19,4,2024-11-06,601380000,7,Put,351.79,352.00,11.44
168,23,1,2024-11-06,603096000,4,Call,358.89,359.00,12.98
169,29,4,2024-11-06,611327000,7,Call,369.14,369.00,13.48
170,32,1,2024-11-06,613414000,2,Call,378.04,378.00,13.75
171,33,1,2024-11-06,603436000,7,Put,357.93,358.00,11.57
172,43,3,2024-11-06,620976000,3,Put,387.37,387.00,12.30
173,44,3,2024-11-06,601964000,7,Put,357.00,357.00,11.50
174,55,4,2024-11-06,610925000,6,Call,369.59,370.00,13.22
175,59,1,2024-11-06,607025000,7,Put,374.22,374.00,11.95
176,68,2,2024-11-06,605669000,2,Put,374.08,374.00,12.01
177,69,1,2024-11-06,600543000,6,Put,357.05,357.00,11.48
178,71,3,2024-11-06,609423000,3,Put,367.40,367.00,11.64
179,73,2,2024-11-06,608369000,4,Call,375.06,375.00,13.65
180,75,3,2024-11-06,603455000,6,Call,358.65,359.00,12.85
181,78,1,2024-11-06,601171000,1,Call,358.72,359.00,12.89
182,81,2,2024-11-06,605393000,2,Call,373.04,373.00,13.57
183,82,2,2024-11-06,610310000,2,Put,371.43,371.00,11.76
184,83,3,2024-11-06,604810000,5,Put,362.00,362.00,11.66
185,86,4,2024-11-06,611590000,6,Call,370.62,371.00,13.27
186,87,2,2024-11-06,604439000,1,Call,359.17,359.00,13.13
187,89,1,2024-11-06,605355000,6,Call,372.96,373.00,13.53
188,90,4,2024-11-06,610252000,2,Call,372.16,372.00,13.60
189,98,3,2024-11-06,604994000,4,Put,364.21,364.00,11.63
190,100,2,2024-11-06,614874000,5,Put,376.85,377.00,12.22
191,4,3,2024-11-07,717058000,4,Put,418.64,419.00,13.67
192,6,4,2024-11-07,708406000,6,Put,403.92,404.00,13.05
193,8,3,2024-11-07,708166000,0,Call,403.64,404.00,14.48
194,16,4,2024-11-07,714770000,4,Put,408.18,408.00,13.06
195,17,3,2024-11-07,719564000,3,Call,417.10,417.00,15.20
196,20,3,2024-11-07,717802000,3,Put,419.57,420.00,13.73
197,22,4,2024-11-07,703393000,6,Call,390.85,391.00,14.12
198,30,1,2024-11-07,704755000,1,Call,395.85,396.00,14.30
199,31,1,2024-11-07,705161000,2,Call,400.41,400.00,14.75
200,33,2,2024-11-07,714453000,4,Call,411.58,412.00,14.74
201,37,1,2024-11-07,717533000,6,Put,416.51,417.00,13.66
202,40,3,2024-11-07,715857000,2,Call,415.47,415.00,15.33
203,44,4,2024-11-07,700858000,5,Call,389.11,389.00,14.19
204,52,4,2024-11-07,710336000,4,Call,405.05,405.00,14.74
205,69,4,2024-11-07,716879000,4,Call,417.77,418.00,15.06
206,70,2,2024-11-07,715982000,6,Call,417.09,417.00,15.19
207,72,4,2024-11-07,715332000,5,Call,408.46,408.00,15.07
208,77,4,2024-11-07,711855000,0,Put,400.05,400.00,12.87
209,79,3,2024-11-07,713794000,0,Call,411.34,411.00,15.11
210,82,4,2024-11-07,718752000,2,Call,419.19,419.00,15.32
211,83,4,2024-11-07,702617000,5,Call,390.86,391.00,14.13
212,85,4,2024-11-07,714075000,5,Put,410.14,410.00,13.14
213,89,4,2024-11-07,714076000,3,Call,410.14,410.00,14.97
214,90,1,2024-11-07,703480000,4,Call,392.81,393.00,14.17
215,91,2,2024-11-07,719956000,3,Put,415.72,416.00,13.53
216,92,3,2024-11-07,704305000,3,Call,394.77,395.00,14.23
217,94,1,2024-11-07,716318000,1,Put,415.69,416.00,13.55
218,98,3,2024-11-07,705016000,4,Call,398.43,398.00,14.69
